lessonId	position	dayId	exerciseId	type	assessmentMode	instruction	audio	display	displayFormat	options	optionsFormat	correct	targetNumber	validationResult	origin	sourceExerciseId	topic	prerequisite	introducesNewContent	assessesContent
wb1_l1	11	wb1_l1_d1	wb1_l1_letter_recognition_k	multiple-choice		Choose the correct letter.	K. This is the letter K.	K	unknown	K | J | Q | G	unknown	K		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	12	wb1_l1_d1	wb1_l1_letter_recognition_l	multiple-choice		Choose the correct letter.	L. This is the letter L.	L	unknown	L | M | N | R	unknown	L		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	13	wb1_l1_d1	wb1_l1_letter_recognition_m	multiple-choice		Choose the correct letter.	M. This is the letter M.	M	unknown	M | N | L | W	unknown	M		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	14	wb1_l1_d1	wb1_l1_letter_recognition_n	multiple-choice		Choose the correct letter.	N. This is the letter N.	N	unknown	N | M | L | R	unknown	N		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	15	wb1_l1_d1	wb1_l1_letter_recognition_o	multiple-choice		Choose the correct letter.	O. This is the letter O.	O	unknown	O | Q | U | A	unknown	O		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	16	wb1_l1_d2	wb1_l1_letter_recognition_p	multiple-choice		Choose the correct letter.	P. This is the letter P.	P	unknown	P | B | D | V	unknown	P		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	17	wb1_l1_d2	wb1_l1_letter_recognition_q	multiple-choice		Choose the correct letter.	Q. This is the letter Q.	Q	unknown	Q | O | U | K	unknown	Q		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	18	wb1_l1_d2	wb1_l1_letter_recognition_r	multiple-choice		Choose the correct letter.	R. This is the letter R.	R	unknown	R | A | L | W	unknown	R		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	19	wb1_l1_d2	wb1_l1_letter_recognition_s	multiple-choice		Choose the correct letter.	S. This is the letter S.	S	unknown	S | C | X | Z	unknown	S		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	20	wb1_l1_d2	wb1_l1_letter_recognition_t	multiple-choice		Choose the correct letter.	T. This is the letter T.	T	unknown	T | D | P | G	unknown	T		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	21	wb1_l1_d2	wb1_l1_letter_recognition_u	multiple-choice		Choose the correct letter.	U. This is the letter U.	U	unknown	U | Q | O | V	unknown	U		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	22	wb1_l1_d2	wb1_l1_letter_recognition_v	multiple-choice		Choose the correct letter.	V. This is the letter V.	V	unknown	V | B | P | W	unknown	V		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	23	wb1_l1_d2	wb1_l1_letter_recognition_w	multiple-choice		Choose the correct letter.	W. This is the letter W.	W	unknown	W | M | N | R	unknown	W		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	24	wb1_l1_d2	wb1_l1_letter_recognition_x	multiple-choice		Choose the correct letter.	X. This is the letter X.	X	unknown	X | S | Z | K	unknown	X		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	25	wb1_l1_d2	wb1_l1_letter_recognition_y	multiple-choice		Choose the correct letter.	Y. This is the letter Y.	Y	unknown	Y | I | E | A	unknown	Y		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	26	wb1_l1_d2	wb1_l1_letter_recognition_z	multiple-choice		Choose the correct letter.	Z. This is the letter Z.	Z	unknown	Z | G | J | S	unknown	Z		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	27	wb1_l1_d2	wb1_l1_number_recognition_0	identification		Choose the correct number.	zero. This is the number zero.	0	digits	zero | one | ten | twenty	words	zero	0	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	28	wb1_l1_d2	wb1_l1_number_recognition_1	identification		Choose the correct number.	one. This is the number one.	ONE	words	1 | 7 | 11 | 10	digits	1	1	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	29	wb1_l1_d2	wb1_l1_number_recognition_2	identification		Choose the correct number.	two. This is the number two.	2	digits	two | twelve | twenty | ten	words	two	2	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	30	wb1_l1_d2	wb1_l1_number_recognition_3	identification		Choose the correct number.	three. This is the number three.	THREE	words	3 | 13 | 8 | 18	digits	3	3	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	31	wb1_l1_d3	wb1_l1_number_recognition_4	identification		Choose the correct number.	four. This is the number four.	4	digits	four | fourteen | forty | forty-four	words	four	4	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	32	wb1_l1_d3	wb1_l1_number_recognition_5	identification		Choose the correct number.	five. This is the number five.	FIVE	words	5 | 15 | 50 | 55	digits	5	5	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	33	wb1_l1_d3	wb1_l1_number_recognition_6	identification		Choose the correct number.	six. This is the number six.	6	digits	six | sixteen | sixty | sixty-six	words	six	6	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	34	wb1_l1_d3	wb1_l1_number_recognition_7	identification		Choose the correct number.	seven. This is the number seven.	SEVEN	words	7 | 17 | 70 | 77	digits	7	7	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	35	wb1_l1_d3	wb1_l1_number_recognition_8	identification		Choose the correct number.	eight. This is the number eight.	8	digits	eight | eighteen | eighty | eighty-eight	words	eight	8	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	36	wb1_l1_d3	wb1_l1_number_recognition_9	identification		Choose the correct number.	nine. This is the number nine.	NINE	words	9 | 19 | 90 | 99	digits	9	9	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	37	wb1_l1_d3	wb1_l1_number_recognition_10	identification		Choose the correct number.	ten. This is the number ten.	10	digits	ten | zero | eleven | twenty	words	ten	10	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	38	wb1_l1_d3	wb1_l1_number_recognition_11	identification		Choose the correct number.	eleven. This is the number eleven.	11	digits	one | eleven | twelve | twenty	words	eleven	11	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	39	wb1_l1_d3	wb1_l1_number_recognition_12	identification		Choose the correct number.	twelve. This is the number twelve.	12	digits	two | twelve | twenty | eleven	words	twelve	12	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	40	wb1_l1_d3	wb1_l1_number_recognition_13	identification		Choose the correct number.	thirteen. This is the number thirteen.	THIRTEEN	words	13 | 3 | 30 | 33	digits	13	13	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	41	wb1_l1_d3	wb1_l1_number_recognition_14	identification		Choose the correct number.	fourteen. This is the number fourteen.	14	digits	four | fourteen | forty | forty-four	words	fourteen	14	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	42	wb1_l1_d3	wb1_l1_number_recognition_15	identification		Choose the correct number.	fifteen. This is the number fifteen.	FIFTEEN	words	15 | 5 | 50 | 55	digits	15	15	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	43	wb1_l1_d3	wb1_l1_number_recognition_16	identification		Choose the correct number.	sixteen. This is the number sixteen.	16	digits	six | sixteen | sixty | sixty-six	words	sixteen	16	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	44	wb1_l1_d3	wb1_l1_number_recognition_17	identification		Choose the correct number.	seventeen. This is the number seventeen.	SEVENTEEN	words	17 | 7 | 70 | 77	digits	17	17	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	45	wb1_l1_d3	wb1_l1_number_recognition_18	identification		Choose the correct number.	eighteen. This is the number eighteen.	18	digits	eight | eighteen | eighty | eighty-eight	words	eighteen	18	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	46	wb1_l1_d4	wb1_l1_number_recognition_19	identification		Choose the correct number.	nineteen. This is the number nineteen.	NINETEEN	words	19 | 9 | 90 | 99	digits	19	19	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	47	wb1_l1_d4	wb1_l1_number_recognition_20	identification		Choose the correct number.	twenty. This is the number twenty.	20	digits	two | twenty | twelve | ten	words	twenty	20	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	48	wb1_l1_d4	wb1_l1_letter_yes_no_a	multiple-choice		Choose YES or NO.	Is this the letter A?	A	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter A recognition	false	true
wb1_l1	49	wb1_l1_d4	wb1_l1_letter_yes_no_b	multiple-choice		Choose YES or NO.	Is this the letter B?	D	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter B recognition	false	true
wb1_l1	50	wb1_l1_d4	wb1_l1_letter_yes_no_c	multiple-choice		Choose YES or NO.	Is this the letter C?	C	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter C recognition	false	true
wb1_l1	51	wb1_l1_d4	wb1_l1_letter_yes_no_d	multiple-choice		Choose YES or NO.	Is this the letter D?	B	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter D recognition	false	true
wb1_l1	52	wb1_l1_d4	wb1_l1_letter_yes_no_e	multiple-choice		Choose YES or NO.	Is this the letter E?	E	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter E recognition	false	true
wb1_l1	53	wb1_l1_d4	wb1_l1_letter_yes_no_f	multiple-choice		Choose YES or NO.	Is this the letter F?	S	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter F recognition	false	true
wb1_l1	54	wb1_l1_d4	wb1_l1_letter_yes_no_g	multiple-choice		Choose YES or NO.	Is this the letter G?	G	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter G recognition	false	true
wb1_l1	55	wb1_l1_d4	wb1_l1_letter_yes_no_h	multiple-choice		Choose YES or NO.	Is this the letter H?	A	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter H recognition	false	true
wb1_l1	56	wb1_l1_d5	wb1_l1_letter_yes_no_i	multiple-choice		Choose YES or NO.	Is this the letter I?	I	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter I recognition	false	true
wb1_l1	57	wb1_l1_d5	wb1_l1_letter_yes_no_j	multiple-choice		Choose YES or NO.	Is this the letter J?	G	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter J recognition	false	true
wb1_l1	58	wb1_l1_d5	wb1_l1_letter_yes_no_k	multiple-choice		Choose YES or NO.	Is this the letter K?	K	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter K recognition	false	true
wb1_l1	59	wb1_l1_d5	wb1_l1_letter_yes_no_l	multiple-choice		Choose YES or NO.	Is this the letter L?	M	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter L recognition	false	true
wb1_l1	60	wb1_l1_d5	wb1_l1_letter_yes_no_m	multiple-choice		Choose YES or NO.	Is this the letter M?	M	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter M recognition	false	true
wb1_l1	61	wb1_l1_d5	wb1_l1_letter_yes_no_n	multiple-choice		Choose YES or NO.	Is this the letter N?	M	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter N recognition	false	true
wb1_l1	62	wb1_l1_d5	wb1_l1_letter_yes_no_o	multiple-choice		Choose YES or NO.	Is this the letter O?	O	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter O recognition	false	true
wb1_l1	63	wb1_l1_d5	wb1_l1_letter_yes_no_p	multiple-choice		Choose YES or NO.	Is this the letter P?	B	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter P recognition	false	true
wb1_l1	64	wb1_l1_d5	wb1_l1_letter_yes_no_q	multiple-choice		Choose YES or NO.	Is this the letter Q?	Q	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter Q recognition	false	true
wb1_l1	65	wb1_l1_d5	wb1_l1_letter_yes_no_r	multiple-choice		Choose YES or NO.	Is this the letter R?	A	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter R recognition	false	true
wb1_l1	66	wb1_l1_d5	wb1_l1_letter_yes_no_s	multiple-choice		Choose YES or NO.	Is this the letter S?	S	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter S recognition	false	true
wb1_l1	67	wb1_l1_d5	wb1_l1_letter_yes_no_t	multiple-choice		Choose YES or NO.	Is this the letter T?	D	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter T recognition	false	true
wb1_l1	68	wb1_l1_d5	wb1_l1_letter_yes_no_u	multiple-choice		Choose YES or NO.	Is this the letter U?	U	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter U recognition	false	true
wb1_l1	69	wb1_l1_d5	wb1_l1_letter_yes_no_v	multiple-choice		Choose YES or NO.	Is this the letter V?	B	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter V recognition	false	true
wb1_l1	70	wb1_l1_d5	wb1_l1_letter_yes_no_w	multiple-choice		Choose YES or NO.	Is this the letter W?	W	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter W recognition	false	true
wb1_l1	71	wb1_l1_d6	wb1_l1_letter_yes_no_x	multiple-choice		Choose YES or NO.	Is this the letter X?	S	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter X recognition	false	true
wb1_l1	72	wb1_l1_d6	wb1_l1_letter_yes_no_y	multiple-choice		Choose YES or NO.	Is this the letter Y?	Y	unknown	YES | NO	unknown	YES		not-applicable:multiple-choice	lesson1Authored		alphabet	letter Y recognition	false	true
wb1_l1	73	wb1_l1_d6	wb1_l1_letter_yes_no_z	multiple-choice		Choose YES or NO.	Is this the letter Z?	G	unknown	YES | NO	unknown	NO		not-applicable:multiple-choice	lesson1Authored		alphabet	letter Z recognition	false	true
wb1_l1	74	wb1_l1_d6	wb1_l1_number_yes_no_14	multiple-choice		Choose YES or NO.	Is this the number fourteen?	4	digits	YES | NO	unknown	NO	4	not-applicable:multiple-choice	lesson1Authored		numbers	number 14 recognition	false	true
wb1_l1	75	wb1_l1_d6	wb1_l1_number_write_7	writing		Write the number word.	seven	7	digits		none	seven	7	not-applicable:writing	lesson1Authored		numbers	number 7 recognition	false	true
wb1_l1	76	wb1_l1_d6	wb1_l1_number_write_16	writing		Write the number word.	sixteen	16	digits		none	sixteen	16	not-applicable:writing	lesson1Authored		numbers	number 16 recognition	false	true
wb1_l1	77	wb1_l1_d6	wb1_l1_shadow_letters	speaking	shadowing	Listen and repeat.	They are letters.	A B	unknown		none	They are letters.		not-applicable:speaking	lesson1Authored		singular-and-plural	letter recognition	false	true
wb1_l1	78	wb1_l1_d6	wb1_l1_shadow_numbers	speaking	shadowing	Listen and repeat.	They are numbers.	1 2	unknown		none	They are numbers.		not-applicable:speaking	lesson1Authored		singular-and-plural	number recognition	false	true
wb1_l1	79	wb1_l1_d6	wb1_l1_shadow_number_20	speaking	shadowing	Listen and repeat.	This is the number twenty.	20	digits		none	This is the number twenty.	20	not-applicable:speaking	lesson1Authored		numbers	number 20 recognition	false	true
wb1_l1	80	wb1_l1_d6	wb1_l1_speak_number_12	speaking	speaking	Listen and answer.	What is this?	12	digits		none	It is a number.	12	not-applicable:speaking	lesson1Authored		numbers	number recognition and modeled identification	false	true
wb1_l1	81	wb1_l1_d7	wb1_l1_final_listen_write_letter_a	writing	listening-writing	Listen and write.	A		unknown		none	A		not-applicable:writing	lesson1Authored		alphabet	recognition practice	false	true
wb1_l1	82	wb1_l1_d7	wb1_l1_final_listen_write_letter_e	writing	listening-writing	Listen and write.	E		unknown		none	E		not-applicable:writing	lesson1Authored		alphabet	recognition practice	false	true
wb1_l1	83	wb1_l1_d7	wb1_l1_final_listen_write_letter_h	writing	listening-writing	Listen and write.	H		unknown		none	H		not-applicable:writing	lesson1Authored		alphabet	recognition practice	false	true
wb1_l1	84	wb1_l1_d7	wb1_l1_final_listen_write_letter_z	writing	listening-writing	Listen and write.	Z		unknown		none	Z		not-applicable:writing	lesson1Authored		alphabet	recognition practice	false	true
wb1_l1	85	wb1_l1_d7	wb1_l1_final_listen_write_number_0	writing	listening-writing	Listen and write.	zero		unknown		none	zero	0	not-applicable:writing	lesson1Authored		numbers	recognition practice	false	true
wb1_l1	86	wb1_l1_d7	wb1_l1_final_listen_write_number_4	writing	listening-writing	Listen and write.	four		unknown		none	four	4	not-applicable:writing	lesson1Authored		numbers	recognition practice	false	true
wb1_l1	87	wb1_l1_d7	wb1_l1_final_listen_write_number_14	writing	listening-writing	Listen and write.	fourteen		unknown		none	fourteen	14	not-applicable:writing	lesson1Authored		numbers	recognition practice	false	true
wb1_l1	88	wb1_l1_d7	wb1_l1_final_listen_write_number_20	writing	listening-writing	Listen and write.	twenty		unknown		none	twenty	20	not-applicable:writing	lesson1Authored		numbers	recognition practice	false	true
wb1_l1	89	wb1_l1_d7	wb1_l1_final_shadow_letter_a	speaking	shadowing	Listen and repeat.	This is the letter A.		unknown		none	This is the letter A.		not-applicable:speaking	lesson1Authored		alphabet	modeled sentence in practice	false	true
wb1_l1	90	wb1_l1_d7	wb1_l1_final_shadow_letter_z	speaking	shadowing	Listen and repeat.	This is the letter Z.		unknown		none	This is the letter Z.		not-applicable:speaking	lesson1Authored		alphabet	modeled sentence in practice	false	true
wb1_l1	91	wb1_l1_d7	wb1_l1_final_shadow_number_0	speaking	shadowing	Listen and repeat.	This is the number zero.		unknown		none	This is the number zero.		not-applicable:speaking	lesson1Authored		numbers	modeled sentence in practice	false	true
wb1_l1	92	wb1_l1_d7	wb1_l1_final_shadow_number_20	speaking	shadowing	Listen and repeat.	This is the number twenty.		unknown		none	This is the number twenty.		not-applicable:speaking	lesson1Authored		numbers	modeled sentence in practice	false	true
wb1_l1	93	wb1_l1_d7	wb1_l1_final_shadow_letters	speaking	shadowing	Listen and repeat.	They are letters.		unknown		none	They are letters.		not-applicable:speaking	lesson1Authored		singular-and-plural	modeled sentence in practice	false	true
wb1_l1	94	wb1_l1_d7	wb1_l1_final_shadow_numbers	speaking	shadowing	Listen and repeat.	They are numbers.		unknown		none	They are numbers.		not-applicable:speaking	lesson1Authored		singular-and-plural	modeled sentence in practice	false	true
wb1_l1	95	wb1_l1_d7	wb1_l1_final_speak_identify_letter	speaking	speaking	Listen and answer.	What is this?	B	unknown		none	It is a letter.		not-applicable:speaking	lesson1Authored		alphabet	recognition, Yes/No and oral modeling	false	true
wb1_l1	96	wb1_l1_d7	wb1_l1_final_speak_identify_number	speaking	speaking	Listen and answer.	What is this?	12	digits		none	It is a number.	12	not-applicable:speaking	lesson1Authored		numbers	recognition, Yes/No and oral modeling	false	true
wb1_l1	97	wb1_l1_d7	wb1_l1_final_speak_yes_letter	speaking	speaking	Listen and answer.	Is this the letter A?	A	unknown		none	Yes, it is.		not-applicable:speaking	lesson1Authored		alphabet	recognition, Yes/No and oral modeling	false	true
wb1_l1	98	wb1_l1_d7	wb1_l1_final_speak_no_letter	speaking	speaking	Listen and answer.	Is this the letter A?	E	unknown		none	No, it is not.		not-applicable:speaking	lesson1Authored		alphabet	recognition, Yes/No and oral modeling	false	true
wb1_l1	99	wb1_l1_d7	wb1_l1_final_speak_plural_letters	speaking	speaking	Listen and answer.	What are they?	A B	unknown		none	They are letters.		not-applicable:speaking	lesson1Authored		singular-and-plural	recognition, Yes/No and oral modeling	false	true
wb1_l1	100	wb1_l1_d7	wb1_l1_final_speak_plural_numbers	speaking	speaking	Listen and answer.	What are they?	1 2	unknown		none	They are numbers.		not-applicable:speaking	lesson1Authored		singular-and-plural	recognition, Yes/No and oral modeling	false	true
